"","parameters","estimate","standarderrors","t","CI.lower","CI.upper","LL","nrc","resample_size","datestart","datefinish"
"1","epsilon_[1,1]",1.05919598085447,5.54762836431226,0.190927710238892,-10.03606074777,12.154452709479,"12085.8865344285","12","100","Sun Mar 10 16:28:24 2024","Sun Mar 10 16:28:44 2024"
"2","epsilon_[2,1]",1.18674249035141,5.54767403504766,0.213917126863279,-9.90860557974391,12.2820905604467,"","","","",""
"3","epsilon_[3,1]",-0.646912904779046,5.54720103326928,-0.11661969719489,-11.7413149713176,10.4474891617595,"","","","",""
"4","epsilon_[4,1]",-0.112987551672411,5.54740012493517,-0.0203676585657739,-11.2077878015427,10.9818126981979,"","","","",""
"5","epsilon_[5,1]",0.484856821751153,5.54745208429267,0.0874017142255271,-10.6100473468342,11.5797609903365,"","","","",""
"6","epsilon_[6,1]",0.257303249834007,5.54743832720405,0.0463823542791308,-10.8375734045741,11.3521799042421,"","","","",""
"7","epsilon_[7,1]",-0.858336068610389,5.54726995040675,-0.154731259932186,-11.9528759694239,10.2362038322031,"","","","",""
"8","epsilon_[8,1]",-1.19103672153312,5.54711295085287,-0.214712902384653,-12.2852626232389,9.90318918017261,"","","","",""
"9","epsilon_[9,1]",0.977511155478313,5.54763190262389,0.176203319296649,-10.1177526497695,12.0727749607261,"","","","",""
"10","epsilon_[10,1]",-0.156392369018457,5.54730658101623,-0.0281924870627588,-11.2510055310509,10.938220793014,"","","","",""
