ID,ChoiceSet,Choice,Safety_DCE,Reliability_DCE,Comfort_DCE,Ease_of_Use_DCE,Convenience_DCE,Efficiency_DCE,Information_DCE,Staff_helpfulness_DCE,Affordability_DCE
1001,1,0,0.2,-0.6,0.2,0.2,0.2,-0.6,-0.2,0.2,0.6
1001,1,0,0.6,-0.6,0.6,0.6,0.6,-0.6,-0.2,0.6,-0.6
1001,1,1,0.2,-0.2,-0.6,0.2,-0.6,0.6,0.2,-0.2,-0.6
1001,1,0,-0.6,0.6,0.2,-0.6,0.2,-0.2,0.2,-0.2,-0.2
1001,2,0,0.6,0.6,0.6,-0.6,0.6,-0.6,0.2,0.6,0.6
1001,2,0,-0.6,-0.6,0.2,0.6,-0.2,0.6,-0.2,0.2,0.6
1001,2,0,-0.2,0.2,0.2,-0.6,-0.2,-0.2,-0.2,-0.6,-0.6
1001,2,1,0.2,0.2,-0.6,-0.2,-0.2,-0.2,-0.2,0.6,0.6
1001,3,1,0.6,-0.2,0.6,-0.6,0.6,0.6,-0.6,0.6,-0.6
1001,3,0,0.2,0.6,0.6,-0.2,-0.6,-0.6,0.6,-0.2,0.6
1001,3,0,-0.6,-0.2,0.2,-0.2,-0.2,0.2,-0.2,0.2,-0.2
1001,3,0,0.6,-0.2,-0.6,0.6,0.2,0.2,-0.2,-0.6,-0.2
1001,4,0,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,-0.2,-0.6,0.2
1001,4,0,0.6,-0.6,-0.6,-0.6,0.2,0.6,0.2,0.2,0.2
1001,4,1,-0.6,-0.6,-0.2,0.6,0.6,-0.6,0.6,0.6,-0.2
1001,4,0,-0.2,0.6,0.6,-0.2,-0.6,-0.6,-0.6,0.2,-0.2
1001,5,0,0.2,0.2,0.2,-0.6,-0.2,-0.6,0.2,-0.2,-0.2
1001,5,0,0.2,-0.2,0.2,0.2,-0.6,0.2,0.2,-0.2,0.6
1001,5,0,-0.6,0.2,-0.6,0.2,0.6,0.6,-0.6,0.6,0.2
1001,5,1,0.6,-0.2,0.6,0.6,-0.6,0.6,0.6,-0.2,-0.6
1001,6,0,0.6,0.6,0.2,0.6,-0.6,0.6,0.6,0.6,0.6
1001,6,1,0.6,0.6,-0.2,-0.6,-0.6,0.2,-0.6,0.2,-0.6
1001,6,0,0.6,-0.6,-0.2,0.2,0.6,0.2,-0.2,-0.6,0.2
1001,6,0,-0.6,0.6,-0.2,0.2,-0.2,-0.6,0.2,0.2,0.2
1001,7,0,-0.6,0.2,-0.6,-0.2,0.2,0.6,-0.6,-0.6,0.2
1001,7,1,-0.6,0.2,0.6,0.6,0.6,-0.2,0.2,-0.6,-0.2
1001,7,0,0.6,-0.2,0.2,-0.2,-0.6,-0.2,0.6,-0.6,0.2
1001,7,0,-0.6,-0.2,0.2,-0.2,-0.2,-0.2,0.2,0.6,0.2
1001,8,0,-0.2,-0.6,-0.2,0.6,-0.6,0.2,-0.2,-0.2,-0.2
1001,8,0,-0.2,-0.2,-0.2,-0.2,0.2,-0.6,-0.6,0.6,-0.2
1001,8,0,0.2,0.6,-0.2,-0.6,0.2,0.2,0.2,-0.2,0.6
1001,8,1,0.2,-0.6,0.6,-0.6,0.6,0.6,0.6,-0.6,-0.6
1001,9,1,0.2,0.6,-0.6,0.6,0.6,0.2,0.6,-0.6,-0.6
1001,9,0,-0.2,0.2,-0.6,0.2,0.2,0.2,-0.6,-0.2,-0.2
1001,9,0,-0.2,0.2,0.6,-0.6,0.2,-0.2,0.6,-0.2,0.6
1001,9,0,-0.2,-0.6,-0.6,0.2,-0.6,0.2,0.6,0.6,-0.6
1001,10,0,-0.6,-0.2,0.6,0.2,-0.2,-0.2,-0.6,-0.2,0.2
1001,10,0,0.2,-0.2,-0.2,-0.6,-0.2,-0.2,0.6,-0.6,0.2
1001,10,1,0.6,0.6,-0.6,0.6,-0.2,-0.6,-0.6,0.2,-0.6
1001,10,0,0.2,-0.6,-0.2,0.2,0.6,0.6,-0.6,-0.2,0.6
1001,11,1,-0.2,-0.6,-0.6,0.2,-0.2,-0.2,0.6,0.2,-0.6
1001,11,0,-0.2,0.2,0.2,0.2,-0.2,-0.2,-0.2,-0.6,0.2
1001,11,0,0.2,0.6,0.6,0.6,-0.6,0.6,-0.6,0.6,0.6
1001,11,0,-0.2,0.2,0.2,-0.6,0.6,-0.6,-0.2,0.2,0.2
1001,12,0,-0.6,0.2,-0.2,-0.2,-0.6,0.2,0.2,0.2,-0.2
1001,12,0,-0.6,0.6,-0.6,-0.2,0.6,0.6,0.6,0.6,-0.6
1001,12,0,-0.2,-0.6,0.6,-0.2,0.2,-0.6,0.2,0.2,-0.2
1001,12,1,0.6,0.2,-0.2,0.6,0.2,0.2,-0.6,-0.6,0.6
1002,1,0,0.2,-0.6,0.2,0.2,0.2,-0.6,-0.2,0.2,0.6
1002,1,1,0.6,-0.6,0.6,0.6,0.6,-0.6,-0.2,0.6,-0.6
1002,1,0,0.2,-0.2,-0.6,0.2,-0.6,0.6,0.2,-0.2,-0.6
1002,1,0,-0.6,0.6,0.2,-0.6,0.2,-0.2,0.2,-0.2,-0.2
1002,2,0,0.6,0.6,0.6,-0.6,0.6,-0.6,0.2,0.6,0.6
1002,2,0,-0.6,-0.6,0.2,0.6,-0.2,0.6,-0.2,0.2,0.6
1002,2,1,-0.2,0.2,0.2,-0.6,-0.2,-0.2,-0.2,-0.6,-0.6
1002,2,0,0.2,0.2,-0.6,-0.2,-0.2,-0.2,-0.2,0.6,0.6
1002,3,1,0.6,-0.2,0.6,-0.6,0.6,0.6,-0.6,0.6,-0.6
1002,3,0,0.2,0.6,0.6,-0.2,-0.6,-0.6,0.6,-0.2,0.6
1002,3,0,-0.6,-0.2,0.2,-0.2,-0.2,0.2,-0.2,0.2,-0.2
1002,3,0,0.6,-0.2,-0.6,0.6,0.2,0.2,-0.2,-0.6,-0.2
1002,4,0,-0.2,-0.2,-0.2,-0.2,0.2,-0.2,-0.2,-0.6,0.2
1002,4,1,0.6,-0.6,-0.6,-0.6,0.2,0.6,0.2,0.2,0.2
1002,4,0,-0.6,-0.6,-0.2,0.6,0.6,-0.6,0.6,0.6,-0.2
1002,4,0,-0.2,0.6,0.6,-0.2,-0.6,-0.6,-0.6,0.2,-0.2
1002,5,0,0.2,0.2,0.2,-0.6,-0.2,-0.6,0.2,-0.2,-0.2
1002,5,0,0.2,-0.2,0.2,0.2,-0.6,0.2,0.2,-0.2,0.6
1002,5,0,-0.6,0.2,-0.6,0.2,0.6,0.6,-0.6,0.6,0.2
1002,5,1,0.6,-0.2,0.6,0.6,-0.6,0.6,0.6,-0.2,-0.6
1002,6,0,0.6,0.6,0.2,0.6,-0.6,0.6,0.6,0.6,0.6
1002,6,1,0.6,0.6,-0.2,-0.6,-0.6,0.2,-0.6,0.2,-0.6
1002,6,0,0.6,-0.6,-0.2,0.2,0.6,0.2,-0.2,-0.6,0.2
1002,6,0,-0.6,0.6,-0.2,0.2,-0.2,-0.6,0.2,0.2,0.2
1002,7,0,-0.6,0.2,-0.6,-0.2,0.2,0.6,-0.6,-0.6,0.2
1002,7,1,-0.6,0.2,0.6,0.6,0.6,-0.2,0.2,-0.6,-0.2
1002,7,0,0.6,-0.2,0.2,-0.2,-0.6,-0.2,0.6,-0.6,0.2
1002,7,0,-0.6,-0.2,0.2,-0.2,-0.2,-0.2,0.2,0.6,0.2
1002,8,0,-0.2,-0.6,-0.2,0.6,-0.6,0.2,-0.2,-0.2,-0.2
1002,8,0,-0.2,-0.2,-0.2,-0.2,0.2,-0.6,-0.6,0.6,-0.2
1002,8,0,0.2,0.6,-0.2,-0.6,0.2,0.2,0.2,-0.2,0.6
1002,8,1,0.2,-0.6,0.6,-0.6,0.6,0.6,0.6,-0.6,-0.6
1002,9,0,0.2,0.6,-0.6,0.6,0.6,0.2,0.6,-0.6,-0.6
1002,9,0,-0.2,0.2,-0.6,0.2,0.2,0.2,-0.6,-0.2,-0.2
1002,9,0,-0.2,0.2,0.6,-0.6,0.2,-0.2,0.6,-0.2,0.6
